CountryCode,state,city,lat,lon,area_code
au,Australia,Melbourne,-37.84485852236199,144.9928106100288,
au,Australia,Brisbane,-27.481402546328614,153.0372259720039,
au,Australia,Perth,-31.975423864169734,115.8111007884317,
au,Australia,Adelaide,-34.911377844577466,138.52847136527453,
au,Australia,Canberra,-35.257172715700364,149.0715102566377,
au,Australia,Geelong,-38.12419261928966,144.32335496674455,
au,Australia,Sydney,-33.868800,151.209300,
au,Australia,Newcastle,-32.928300,151.781700,
au,Australia,Wollongong,-34.427800,150.893100,
au,Australia,Gold Coast,-28.016700,153.400000,
au,Australia,Maroochydore,-26.650000,153.066700,
au,Australia,Toowoomba,-27.559800,151.950700,
au,Australia,Townsville,-19.258900,146.816900,
au,Australia,Cairns,-16.918600,145.778100,
au,Australia,Mackay,-21.141100,149.186000,
au,Australia,Rockhampton,-23.379000,150.510000,
au,Australia,Bundaberg,-24.866100,152.348900,
au,Australia,Gladstone,-23.848500,151.262000,
au,Australia,Hervey Bay,-25.288200,152.833600,
au,Australia,Mount Isa,-20.725600,139.492700,
au,Australia,Coffs Harbour,-30.296300,153.114600,
au,Australia,Port Macquarie,-31.433300,152.900000,
au,Australia,Tamworth,-31.083300,150.916700,
au,Australia,Dubbo,-32.256900,148.601100,
au,Australia,Bathurst,-33.419000,149.577600,
au,Australia,Orange,-33.283000,149.101300,
au,Australia,Wagga Wagga,-35.108200,147.359800,
au,Australia,Albury,-36.080800,146.916400,
au,Australia,Broken Hill,-31.953900,141.453900,
au,Australia,Launceston,-41.433200,147.144100,
au,Australia,Hobart,-42.882100,147.327200,
au,Australia,Devonport,-41.180000,146.360000,
au,Australia,Burnie,-41.055800,145.903700,
au,Australia,Darwin,-12.463400,130.845600,
au,Australia,Alice Springs,-23.698000,133.880700,
au,Australia,Katherine,-14.465000,132.263600,
au,Australia,Palmerston,-12.496000,130.985000,
au,Australia,Ballarat,-37.562200,143.850300,
au,Australia,Bendigo,-36.757000,144.279400,
au,Australia,Shepparton,-36.380500,145.399500,
au,Australia,Mildura,-34.185500,142.162500,
au,Australia,Warrnambool,-38.382000,142.484000,
au,Australia,Traralgon,-38.195300,146.541600,
au,Australia,Wodonga,-36.121500,146.888000,
au,Australia,Frankston,-38.144500,145.122000,
au,Australia,Dandenong,-37.987400,145.215000,
au,Australia,Fremantle,-32.056900,115.743900,
au,Australia,Joondalup,-31.744000,115.766000,
au,Australia,Mandurah,-32.526900,115.721700,
au,Australia,Bunbury,-33.325600,115.639600,
au,Australia,Geraldton,-28.777400,114.614600,
au,Australia,Kalgoorlie,-30.748900,121.465000,
au,Australia,Albany,-35.026900,117.883700,
au,Australia,Broome,-17.961400,122.235900,
au,Australia,Karratha,-20.737700,116.846000,
au,Australia,Port Hedland,-20.310400,118.607100,
au,Australia, Logan City, -27.6392, 153.1094,
au,Australia, Ipswich, -27.6145, 152.7608,
au,Australia, Blacktown, -33.7660, 150.9066,
au,Australia, Campbelltown, -34.0643, 150.8142,
au,Australia, Penrith, -33.7506, 150.6944,
au,Australia, Casey, -38.0260, 145.3130,
au,Australia, Wyndham, -37.9000, 144.6500,
au,Australia, Tea Tree Gully, -34.8313, 138.7286,
au,Australia, Salisbury, -34.7633, 138.6444,
au,Australia, Liverpool, -33.9200, 150.9250,
au,Australia, Bankstown, -33.9170, 151.0340,
au,Australia, Gosford, -33.4240, 151.3430,
au,Australia, Maitland, -32.7333, 151.5500,
au,Australia, Redcliffe, -27.2300, 153.1000,
au,Australia, Caboolture, -27.0833, 152.9500,
au,Australia, Morphett Vale, -35.1330, 138.5160,
au,Australia, Elizabeth, -34.7150, 138.6670,
au,Australia, Mandurah , -32.5367, 115.7425,
