CountryCode,state,city,lat,lon,area_code
us,New York,New York,40.6943,-73.9249,"212, 332, 347, 646, 718, 917, 929"
us,Illinois,Chicago,41.8375,-87.6866,"312, 773, 872"
us,Florida,Miami,25.784,-80.2101,"305, 786, 645"
us,Texas,Houston,29.786,-95.3885,"713, 281, 346, 621"
us,Texas,Dallas,32.7935,-96.7667,"214, 469, 972, 945"
us,Pennsylvania,Philadelphia,40.0077,-75.1339,"215, 267, 445"
us,Georgia,Atlanta,33.7628,-84.422,"404, 678, 470, 943 "
us,District of Columbia,Washington,38.9047,-77.0163,"202, 771"
us,Massachusetts,Boston,42.3188,-71.0852,"617, 857"
us,Arizona,Phoenix,33.5722,-112.0892,"602, 408, 623"
us,Michigan,Detroit,42.3834,-83.1024,"313, 679"
us,Washington,Seattle,47.6211,-122.3244,"206"
us,Minnesota,Minneapolis,44.9635,-93.2678,"612"
us,Florida,Tampa,27.9945,-82.4447,"813, 656"
us,New York,Brooklyn,40.6501,-73.9496,"718, 347, 929"
us,Colorado,Denver,39.762,-104.8758,"303, 720, 983"
us,New York,Queens,40.7498,-73.7976,"718, 347, 929"
us,Nevada,Las Vegas,36.2333,-115.2654,"702, 725"
us,Maryland,Baltimore,39.3051,-76.6144,"410, 443, 667"
us,Missouri,St. Louis,38.6359,-90.2451,"314, 557"
us,Texas,San Antonio,29.4632,-98.5238,"210, 726"
us,Oregon,Portland,45.5371,-122.65,"503, 971"
us,Texas,Austin,30.3005,-97.7522,"512, 737 "
us,Florida,Orlando,28.4773,-81.337,"407, 689"
us,Ohio,Cleveland,41.4764,-81.6805,"216, 330, 440, 234, 436"
us,New York,Manhattan,40.7834,-73.9662,"212, 646, 332"
us,Indiana,Indianapolis,39.7771,-86.1458,"317, 463"
us,Pennsylvania,Pittsburgh,40.4397,-79.9763,"412, 878"
us,Ohio,Cincinnati,39.1413,-84.506,"513, 283"
us,Missouri,Kansas City,39.1238,-94.5541,"816, 975"
us,Ohio,Columbus,39.9862,-82.9855,"614, 380"
us,New York,Bronx,40.8501,-73.8662,"718, 347, 929"
us,North Carolina,Charlotte,35.2083,-80.8303,"704, 980"
us,Virginia,Virginia Beach,36.7335,-76.0435,"757, 948"
us,Wisconsin,Milwaukee,43.0642,-87.9675,"414"
us,Rhode Island,Providence,41.823,-71.4187,"401"
us,Florida,Jacksonville,30.3322,-81.6749,"904, 324"
us,Virginia,Richmond,37.5295,-77.4756,"804, 686"
us,Tennessee,Nashville,36.1715,-86.7842,"615, 629"
us,Utah,Salt Lake City,40.7776,-111.9311,"801, 385"
us,North Carolina,Raleigh,35.8324,-78.6429,"919, 984"
us,Connecticut,Danbury,41.4015,-73.4709,"203, 475"
us,Tennessee,Memphis,35.1087,-89.9663,"901"
us,Oklahoma,Oklahoma City,35.4676,-97.5136,"405, 572"
us,New York,Buffalo,42.9018,-78.8487,"716, 624"
us,Connecticut,Hartford,41.7661,-72.6834,"860, 959"
us,Connecticut,Bridgeport,41.1918,-73.1954,"203, 475"
us,Kentucky,Louisville,38.1663,-85.6485,"502, 761"
us,Texas,Fort Worth,32.7817,-97.3474,"817, 682"
us,Louisiana,New Orleans,30.0687,-89.9288,"504"
us,Arizona,Tucson,32.1541,-110.8787,"520"
us,Texas,El Paso,31.8476,-106.43,"915"
us,Nebraska,Omaha,41.2627,-96.0529,"402"
us,Texas,McAllen,26.2252,-98.2467,"956"
us,Alabama,Birmingham,33.5279,-86.7971,"205, 659"
us,Pennsylvania,Scranton,41.4044,-75.6649,"570, 272"
us,New Mexico,Albuquerque,35.1054,-106.6465,"505"
us,Oklahoma,Tulsa,36.1283,-95.9042,"918"
us,New York,Rochester,43.168,-77.6162,"585"
us,South Carolina,Charleston,32.8168,-79.9687,"843, 854"
us,Texas,Denton,33.2175,-97.1418,"682, 817"
us,Ohio,Dayton,39.7805,-84.2003,"     937, 326"
us,Utah,Provo,40.2457,-111.6457,"801, 385"
us,Florida,Cape Coral,26.6443,-81.9957,"239"
us,Ohio,Toledo,41.6638,-83.5827,"419, 567"
us,New York,Albany,42.6664,-73.7987,"518, 838"
us,Michigan,Grand Rapids,42.9619,-85.6562,"616"
us,Colorado,Colorado Springs,38.8674,-104.7605,"719"
us,Louisiana,Baton Rouge,30.442,-91.1311,"225"
us,Utah,Ogden,41.2279,-111.9682,"801, 385"
us,South Carolina,Columbia,34.0378,-80.9036,"803"
us,Pennsylvania,Allentown,40.5961,-75.4756,"610, 484, 835"
us,Maryland,Frederick,39.4337,-77.4141,"301, 240, 227"
us,Tennessee,Knoxville,35.9692,-83.9496,"865"
us,Connecticut,New Haven,41.3113,-72.9246,"203, 475"
us,Iowa,Des Moines,41.5725,-93.6105,"515"
us,Ohio,Akron,41.0798,-81.5219,"330, 234"
us,Florida,Palm Bay,27.9631,-80.6593,"312, 689"
us,Texas,Pearland,29.5581,-95.3218," 713, 281, 832, 346, 621"
us,Kansas,Wichita,37.6895,-97.3443,"316"
us,Indiana,Gary,41.5905,-87.3473,"219"
us,Wisconsin,Madison,43.0822,-89.393,"608"
us,Arizona,Mesa,33.4015,-111.7178,"480"
us,Pennsylvania,Harrisburg,40.2752,-76.8843,"717, 223"
us,New York,Staten Island,40.5834,-74.1496,"718,347,929,917"
us,Massachusetts,Springfield,42.1155,-72.5395,"413"
us,Massachusetts,Worcester,42.2705,-71.8079,"508, 774"
us,Florida,Port St. Lucie,27.2796,-80.3884,"772"
us,Arkansas,Little Rock,34.7256,-92.3577,"501"
us,Idaho,Boise,43.6005,-116.2308,"208, 986"
us,Washington,Spokane,47.6671,-117.433,"509"
us,Nevada,Reno,39.5497,-119.8483,"775"
us,Tennessee,Chattanooga,35.066,-85.2481,"423"
us,Florida,Bonita Springs,26.3558,-81.7859,"239"
us,Florida,Kissimmee,28.3041,-81.4169,"321, 407, 689"
us,Georgia,Augusta,33.3645,-82.0708,"706, 762"
us,North Carolina,Winston-Salem,36.1029,-80.261,"336"
us,North Carolina,Durham,35.9792,-78.9022,"530"
us,Florida,Pensacola,30.4413,-87.1911,"850, 448"
us,South Carolina,Greenville,34.8354,-82.3646,"864, 821"
us,Pennsylvania,Lancaster,40.042,-76.3012,"717, 223"
us,New York,Syracuse,43.0407,-76.1437,"315"
us,New Jersey,Trenton,40.2237,-74.7641,"609, 640"
us,Colorado,Aurora,39.7083,-104.7237,"303, 720, 983"
us,Arkansas,Fayetteville,36.0714,-94.1661,"479"
us,New Jersey,Vineland,39.4653,-74.9981,"856"
us,Texas,Arlington,32.6998,-97.125,"817, 682"
us,Indiana,Fort Wayne,41.0888,-85.1436,"260"
us,Texas,Waco,31.5599,-97.1882,"254"
us,New Jersey,Newark,40.7245,-74.1725,"973, 862"
us,Washington,Bremerton,47.5436,-122.7121,"360, 564"
us,Alabama,Huntsville,34.6981,-86.6412,"256, 938"
us,South Carolina,Myrtle Beach,33.7094,-78.8844,"843"
us,Texas,Corpus Christi,27.7254,-97.3767,"316"
us,Florida,Plantation,26.1259,-80.2617,"954,754"
us,North Carolina,Concord,35.3933,-80.6369,"925"
us,North Carolina,Greensboro,36.0956,-79.8271,"530, 837"
us,New Jersey,Jersey City,40.7184,-74.0686,"201, 551"
us,Illinois,Peoria,40.752,-89.6154,"309, 861"
us,Colorado,Fort Collins,40.5477,-105.0656,"970"
us,Washington,Kennewick,46.1978,-119.1732,"509"
us,Mississippi,Jackson,32.3157,-90.2125,"601, 769"
us,North Carolina,Gastonia,35.2494,-81.1854,"980"
us,Rhode Island,Warwick,41.7062,-71.4334,"401"
us,Arkansas,Fayetteville,35.085,-78.9772,"479"
us,Kentucky,Lexington,38.0423,-84.4587,"859"
us,Nevada,Henderson,36.0133,-115.0381,"702, 725"
us,Alabama,Mobile,30.6782,-88.1162,"251"
us,North Carolina,Asheville,35.5707,-82.5537,"828"
us,Indiana,South Bend,41.6767,-86.2696,"574"
us,Michigan,Lansing,42.7142,-84.5601,"517"
us,Georgia,Savannah,32.0286,-81.1821,"912"
us,Ohio,Youngstown,41.0993,-80.6463,"330, 234"
us,Michigan,Ann Arbor,42.2759,-83.731,"734"
us,Florida,St. Petersburg,27.7931,-82.6652,"727"
us,Minnesota,St. Paul,44.9478,-93.1039,"651"
us,New York,Poughkeepsie,41.695,-73.9211,"845"
us,Nebraska,Lincoln,40.8099,-96.6784,"402, 531"
us,Massachusetts,Springfield,37.1943,-93.2916,"413"
us,Texas,Garland,32.91,-96.6304,"214,469,945,972"
us,Colorado,Highlands Ranch,39.5419,-104.9708,"303, 720, 983"
us,Nevada,Enterprise,36.0091,-115.2278,"702, 725"
us,Florida,Winter Haven,28.0118,-81.7014,"863"
us,Ohio,Canton,40.8078,-81.3676,"330, 234"
us,Michigan,Flint,43.0236,-83.6921,"810"
us,Texas,Lubbock,33.5657,-101.8879,"806"
us,Florida,Lakeland,28.0557,-81.9545,"863"
us,Texas,Plano,33.0502,-96.7486,"972, 469"
us,Iowa,Davenport,41.5565,-90.6053,"563"
us,Nevada,North Las Vegas,36.2883,-115.0888,"702, 725"
us,Oregon,Eugene,44.0564,-123.1174,"458, 541"
